decision,review_notes,id,split,source_line,task_category,flags,instruction,output
,,test-00553-e46e30a75b55,test,553,knowledge_qa,heading_only_output|heading_only_task_mismatch|short_output|unverified_research_claim,关于党参对提高免疫力的影响的研究,党参对提高免疫力的影响及其作用机制研究
,,test-00572-62e9412ab1eb,test,572,knowledge_qa,serious_condition|serious_condition_without_safety_language,中医对呼吸窘迫综合征的理解和治疗方式是怎样的?,在中医中，呼吸窘迫通常被认为与肺功能失调、正气不足以及湿浊、痰饮阻塞相关联。主要的治疗方案可能涉及健脾、益肺、清热化湿和宣通呼吸道。具体的治疗方法包括草药调理（如使用炙甘草、人参等以补益肺气）、针灸（针刺中府、太渊等穴位以加强呼吸功能）和食疗，同时根据病情调整治疗方案。
,,test-00600-d7b238b05541,test,600,knowledge_qa,latin_text_fragment,蓝雀花是否是中药的一种？如果可以，请列举其功效和常见应用。,蓝雀花并不是通常提到的中医常用药材之一，可能您指的是金银花（学名：Jasminum officinale），它在中医学中有重要的地位。金银花有清热解毒、疏风解表的作用，常用于治疗痈肿疮毒、发热、头痛等症状，也可用来预防和治疗感冒、流感等上呼吸道感染性疾病。
,,test-00605-fda438589d45,test,605,rewriting_editing,short_output,请帮我修改以下句子以符合中医理论：'我最近总是感觉身体虚弱，需要吃点西药来补充能量。',我最近总是感觉气血虚弱，需要通过中药和食疗来调和气血。
,,test-00610-c4bc57f2d414,test,610,knowledge_qa,heading_only_output|heading_only_task_mismatch|unverified_research_claim|very_short_output,中医治疗冠心病的疗效研究,中医药治疗冠心病疗效研究综述
,,test-00668-4ca8e40eba51,test,668,knowledge_qa,short_output|title_only_output|title_only_task_mismatch|unverified_research_claim,冬虫夏草对免疫系统调节作用的研究进展,《冬虫夏草在免疫调节中的功效与应用前景》
,,test-00674-406c88dfa8bf,test,674,knowledge_qa,medical_advice|medical_advice_without_safety_language,甘松和黑芝麻在中医中有什么功效？如何使用它们来防蛀？,甘松具有行气止痛、开郁醒脾的功效；黑芝麻能滋补肝肾、益精血、润燥。防蛀方面，可以将甘松和黑芝麻作为食材，如将黑芝麻炒熟后磨粉，与甘松粉混合，用于日常饮食中，既能滋补身体，也有助于口腔健康，从而减少蛀牙的发生。
,,test-00682-592db9c98c30,test,682,title_generation,short_output|title_only_output|unverified_research_claim,请为我生成一个关于中医治疗色淡粘腻症状的研究文献标题。,《基于中医理论的色淡粘腻症状治疗策略研究》
,,test-00688-b3f908dbbf10,test,688,knowledge_qa,dosage_question|medical_advice|personal_medical_advice,我想了解黄连素颗粒一日推荐的服用次数及剂量？,黄连素是一种常用的中成药，用于治疗肠胃道炎症、消化不良等症状。一般成人每次服用0.1-0.2g，每日3次；儿童用药量应由医师根据年龄和体重决定。请在使用时参照说明书或咨询专业医生的建议以确保安全有效的剂量与用法。
,,test-00700-ca857778847e,test,700,knowledge_qa,serious_condition|serious_condition_without_safety_language|unverified_research_claim,请根据中医理论，结合现代研究，谈谈你对中药在治疗癌症方面的看法。,中药在治疗癌症方面有一定的潜力和应用价值。中医理论认为，癌症的发生与人体内外的多种因素有关，如情志不畅、饮食不节、环境污染等，导致气血不畅、痰瘀互结、毒邪内生等病理机制。中药治疗癌症的机制主要是通过调和气血、化瘀解毒、扶正固本等作用，改善患者的整体状况，增强机体免疫力，抑制肿瘤细胞的生长和扩散。现代研究也发现，许多中药具有抗肿瘤的活性成分，如黄芪、人参、丹参等，可以通过调节细胞周期、诱导肿瘤细胞凋亡、抑制肿瘤血管生成等多种途径发挥抗肿瘤作用。然而，中药治疗癌症仍需要进一步的临床研究和大样本的验证，以确定其安全性和有效性。
,,test-00713-5ea6ff8ce97c,test,713,knowledge_qa,medical_advice|medical_advice_without_safety_language|personal_medical_advice|personal_medical_advice_without_safety_language,我经常眼睛干涩、有异物感，中医有什么治疗方法吗？,根据您的症状，中医可能会考虑是肝肾阴虚或津液不足所致。治疗上，一方面可以通过滋肝养肾、补充津液的方法，如使用杞菊地黄丸等中药方剂；另一方面，可以通过针灸刺激睛明、太阳、风池等相关穴位，以改善眼部的血液循环和调节眼部功能。建议在专业中医师的指导下进行治疗。
,,test-00728-c66142a94aa3,test,728,title_generation,heading_only_output|short_output|unverified_research_claim,一篇探讨与过山风相关研究的文章的标题是什么？,“过山风（薄荷）在现代中药学中的作用与应用新进展”
,,test-00760-d42aafe974da,test,760,knowledge_qa,serious_condition|serious_condition_without_safety_language|title_only_output|title_only_task_mismatch|very_short_output,中药对肝癌治疗的效果,《中药对肝癌治疗的现状与展望》
,,test-00767-7de75a3b4642,test,767,knowledge_qa,title_only_output|title_only_task_mismatch|unverified_research_claim|very_short_output,关于五心烦热的研究,《五心烦热的中医治疗方法研究》
,,test-00788-ba66948b466d,test,788,rewriting_editing,,请根据中医理论，编辑一段关于夏季养生的文字。,夏季天气炎热，阳气旺盛，人们容易感到心烦气躁、口渴汗多。根据中医理论，夏季养生应以清热解毒、养阴生津为主。建议多吃一些具有清热解毒作用的食物，如绿豆、苦瓜、西瓜等。同时，保持心情愉快，避免过度劳累，适当进行户外活动，以增强机体的抵抗力。
,,test-00801-2861c9c8306c,test,801,knowledge_qa,document_style_output|document_style_task_mismatch|serious_condition|serious_condition_without_safety_language|unverified_research_claim,乳腺恶性肿瘤的中西医综合治疗策略研究,本文探讨了在现代医学与传统中医之间实现有效整合的方法，旨在提高乳腺癌患者的生存率和生活质量。文章详细分析了几种中西医联合疗法的优势和挑战，包括化疗辅助中药、放疗与针灸相结合等手段，并基于临床案例进行证据汇总评估这些策略的长期效果及安全性，为制定更为全面、个性化的治疗计划提供了重要依据。
,,test-00802-f8160e83ef66,test,802,rewriting_editing,,请根据中医理论，对以下句子进行编辑：升麻是一种常用的中药材，具有清热解毒、升阳举陷的功效。,升麻，性温味辛，归脾胃经，有升清阳、举陷、解毒之功，常用于治疗中气下陷、脏器下垂、热毒病疮等症。
,,test-00806-c9017816c769,test,806,long_form_generation,,请以“中医的智慧——从土茯苓看药物配伍”为题，撰写一篇短文。,中医的智慧——从土茯苓看药物配伍 土茯苓，味甘、淡，性平，归心、脾、肾经。在中医理论中，土茯苓具有渗湿利水、健脾安神的功效。在临床应用中，常常与其他药材配伍使用，以增强疗效。例如，与泽泻、白术配伍，可以增强利水渗湿的作用，治疗水肿、小便不利等症状；与酸枣仁、远志配伍，可以增强安神的作用，治疗心悸、失眠等症状。这体现了中医的智慧，通过药物配伍，发挥药物之间的协同作用，提高治疗效果。
,,test-00845-a70486c557cc,test,845,knowledge_qa,heading_only_output|heading_only_task_mismatch|serious_condition|serious_condition_without_safety_language|short_output|unverified_research_claim,探究新疆地区传统医学在肿瘤转移治疗中的应用与效果,新疆地区传统医学对肿瘤转移治疗策略及临床效果的综述研究
,,test-00846-ed2350b63613,test,846,knowledge_qa,medical_advice|medical_advice_without_safety_language,桑枝对什么病症有效，如何服用？,桑枝，在中医中常用于缓解关节疼痛和风寒湿痹所致的肢体麻木等症状，对于风湿病、类风湿性关节炎有良好的治疗作用。建议以泡茶或与其他药材共同煮汤饮用的方式进行食用，比如可将桑枝与其它祛湿活血、舒筋止痛的中药材如生姜、桂皮等一起熬煮，制成桑枝姜桂汤或类似方剂。但是具体用药剂量和方案还需咨询中医师。
,,test-00852-707a73c29d93,test,852,knowledge_qa,unsafe_absolute_claim,什么是中药?,中药是指中医学中的药物，包括各种植物、动物和矿物等，是中医诊疗中必不可少的药材。中药在中医理论中具有独特的药性和功效，可以起到治疗疾病、调节身体平衡的作用。中药一般采用天然的草本材料制成，具有温和、安全、无毒等特点。中医师根据患者的身体状况、病情和病史等因素，选用不同的中药材，制成适合患者的方剂，进行治疗和调理。
,,test-00856-0acdacae5bc3,test,856,knowledge_qa,medical_advice|medical_advice_without_safety_language,请推荐一种适合春季食用的中药食材，并说明其功效。,春季推荐食用枸杞子。枸杞子具有滋肾养肝、益精明目的功效，适合春季养生。可泡水喝、炖汤或直接食用。
,,test-00866-c13ce2f33b56,test,866,knowledge_qa,serious_condition,我有长期疲劳、睡眠不佳和食欲减退，这些是肿瘤的表现吗？,这些症状并不一定就是肿瘤的表现。但根据中医理论，可能是气虚、阴血不足或者脾胃功能虚弱等问题引起的。建议及时到医院进行全面的检查和专业的评估以确诊病因。
,,test-00879-bef6f5cf9f0d,test,879,extraction_classification,potentially_toxic_herb|short_output|toxic_herb_without_safety_language,请将以下中药按照药性分类：人参、附子、石膏、甘草。,人参、甘草属于补益药；附子属于温里药；石膏属于清热药。
,,test-00880-ec5eba8e8f86,test,880,knowledge_qa,serious_condition|serious_condition_without_safety_language,家族性甲状腺髓样癌如何与中医理论相联系？,家族性甲状腺髓样癌在中医上常被称为'瘿瘤'，认为可能与情志、饮食习惯以及先天禀赋有密切关系。按照中医理论，它可能由‘火’和‘痰’引起。'火'即指气郁化热、肝火上炎导致的体内湿热聚结，而'痰'则指气血运行不畅产生的一类病理产物，在某些情况下可表现为肿块形成。中医常使用药物、针灸、推拿、食疗等多种方式来缓解症状或调整体质状态，旨在平衡身体内环境，减轻甲状腺髓样癌带来的不适。
,,test-00886-9226f8ffb336,test,886,extraction_classification,,请将以下中药按功效分类：当归、川芎、桃仁、红花。,当归和川芎具有活血调经的功效，常用于治疗血瘀经闭等症；桃仁和红花则有破血行气的作用，适用于治疗血瘀气滞的病证。
,,test-00893-5a2555b7680c,test,893,title_generation,short_output|title_only_output|unverified_research_claim,请根据以下内容生成一个中医文献标题：本文主要研究了中医治疗肝脾亏虚型糖尿病的临床疗效。,《中医治疗肝脾亏虚型糖尿病临床疗效观察》
,,test-00895-fa7722aee736,test,895,knowledge_qa,short_output|title_only_output|title_only_task_mismatch|unverified_research_claim,研究中药对于减轻焦虑症状的作用及机制分析。,《中药在减缓焦虑症状中的临床应用与作用机制探讨》
,,test-00911-48a94c9c525d,test,911,knowledge_qa,serious_condition|serious_condition_without_safety_language|vulnerable_population|vulnerable_population_without_safety_language,儿童腮腺下巨细胞星形细胞瘤是一种少见的颅内肿瘤类型，在中医上是如何诊断并治疗的？,儿童腮腺下出现巨细胞星形细胞瘤通常是西医的专业领域，中医虽非主要手段，但可通过望闻问切判断是否有关联病症。根据其性质如寒、热、湿等，采用补气养血、清热解毒、活血化瘀的中药进行调理。治疗时可能需配合针灸、拔罐等方法，并调整患者的生活习惯以达到辅助治疗的效果。
,,test-00922-3cfe784a62ad,test,922,knowledge_qa,medical_advice|medical_advice_without_safety_language|personal_medical_advice|personal_medical_advice_without_safety_language,我经常感到腰膝酸软，怕冷，性欲下降，可以推荐一些适合的中药吗？,根据您描述的症状，可能是肾阳虚的表现。可以尝试使用一些温补肾阳的中药，如淫羊藿、巴戟天、肉苁蓉等。这些中药具有温阳补肾、强筋骨、增强性功能的作用。但在使用前，建议咨询专业的中医师，以便根据个人体质和症状进行适当的调配。
,,test-00928-0e87a969949a,test,928,title_generation,short_output|title_only_output|unverified_research_claim,请根据以下内容生成一个中医文献标题：探讨中药复方制剂在治疗糖尿病肾病中的临床疗效。,《中药复方制剂治疗糖尿病肾病的临床疗效观察》
,,test-00935-9cc4c2d7bb7c,test,935,knowledge_qa,heading_only_output|heading_only_task_mismatch|short_output|unverified_research_claim,探讨中药治疗缺血性坏死的研究中，如何提出有创新性的研究问题？,“中医药物干预对缺血性坏死的细胞保护作用及机制研究进展”
,,test-00947-29ecc5d90c5d,test,947,knowledge_qa,potentially_toxic_herb|short_output|toxic_herb_without_safety_language,川乌的性味和归经是什么？,川乌，性味辛、苦，温性，有毒。归经为心、脾、肾经。
,,test-00957-69bd3b8177c0,test,957,title_generation,heading_only_output|unverified_research_claim|very_short_output,请根据以下内容生成一个文献标题：本研究探讨了银柴胡对小鼠免疫调节的影响。,银柴胡对小鼠免疫调节作用的研究
,,test-00962-8496bb7e8507,test,962,knowledge_qa,document_style_output|document_style_task_mismatch,总结《从传统到现代：中药治疗淋巴细胞疾病的综述》一书的内容要点。,本文旨在全面梳理中医学在淋巴细胞疾病（如淋巴瘤、淋巴细胞性白血病等）的传统治疗方法和现代应用。首先，讨论了中医药的理论基础与实践方法，随后评述了现代科学研究如何从分子水平解析中药治疗机制，并引用案例分析了传统方剂在淋巴细胞疾病中的实际效果。本文特别关注于中医药与现代药物结合、中西医整合疗法的可能性及局限性。最终，提出了未来研究方向和对临床应用的建议，旨在为淋巴细胞疾病提供更全面、个性化的治疗方法。
